Incident_Occurred_Date,Incident_Location,City,State,Incident_Type,Allegation,Incident_Disposition,Citizen_Race,Citizen_Gender,Officer_Race,Officer_Gender,FID,Incident_ID
2021-07-08 12:00:00,Rumsey Ave / Jerome St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Hispanic,Female,White,Male,153,20210448
2021-07-08 12:00:00,Rumsey Ave / Jerome St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Hispanic,Female,Black,Female,154,20210448
2021-07-08 12:00:00,Rumsey Ave / Jerome St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Hispanic,Female,White,Male,155,20210448
2021-09-16 12:00:00,N Hayford Ave / E Saginaw St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Partially Sustained,Unknown,Female,White,Male,156,20210042
2021-09-17 12:00:00,N Hayford Ave / E Saginaw St,Lansing,MI,Citizen complaint,Violation of Rules,Partially Sustained,Unknown,Female,White,Male,157,20210042
2021-09-22 12:00:00,Stabler St / E Mason St,Lansing,MI,Citizen complaint,Use of Force,Exonerated,Black,Female,Black,Male,158,20210043
2021-09-22 12:00:00,Stabler St / E Mason St,Lansing,MI,Citizen complaint,Use of Force,Exonerated,Black,Male,Black,Male,159,20210043
2021-09-20 00:00:00,Ballard Rd / Reo Rd,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Exonerated,Unknown,Female,White,Male,160,20210044
2021-09-20 12:00:00,Ballard Rd / Reo Rd,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Exonerated,Unknown,Female,Black,Female,161,20210044
2021-09-20 12:00:00,Ballard Rd / Reo Rd,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Exonerated,Unknown,Female,White,Male,162,20210044
2021-09-18 12:00:00,W Willow St / Knollwood Ave,Lansing,MI,Citizen complaint,Unbecoming Conduct,Unfounded,Black,Male,White,Male,163,20210046
2021-09-18 12:00:00,W Willow St / Knollwood Ave,Lansing,MI,Citizen complaint,Arrest; Search and Seizure,Unfounded,Black,Male,White,Male,164,20210046
2021-10-24 12:00:00,Cox Blvd / Donald St,Lansing,MI,Citizen complaint,Violation of Rules,Exonerated,Black,Female,White,male,165,20210048
2021-09-30 12:00:00,S Cedar St / Cloverland Dr,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Not Sustained,White,Female,White,Male,166,20210049
2021-09-30 12:00:00,S Cedar St / Cloverland Dr,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Not Sustained,White,Female,White,Male,167,20210049
2021-09-30 12:00:00,S Cedar St / Cloverland Dr,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Not Sustained,White,Female,White,Male,168,20210049
2021-11-03 12:00:00,S Cedar St / Cloverland Dr,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Exonerated,White,Female,White,Female,169,20210050
2021-11-03 12:00:00,S Cedar St / Cloverland Dr,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Unfounded,White,Female,Black,Male,170,20210051
2021-11-29 12:00:00,W Greenlawn Ave / Eaton Rd,Lansing,MI,Citizen complaint,Violation of Rules,Exonerated,White,Male,White,Male,171,20210053
2021-11-29 12:00:00,W Greenlawn Ave / Eaton Rd,Lansing,MI,Citizen complaint,Violation of Rules,Exonerated,White,Male,White,Male,172,20210053
2021-12-28 23:10:00,Kaynorth Rd / E Northrup St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Unfounded,Black,Female,White,Male,177,20220011
